plot,title,year
"Jack Powell and David Armstrong are rivals in the same small American town, both vying for the attentions of pretty Sylvia Lewis. Jack fails to realize that ""the girl next door"", Mary Preston, is desperately in love with him. The two young men both enlist to become combat pilots in the Air Service. When they leave for training camp, Jack mistakenly believes Sylvia prefers him. She actually prefers David and lets him know about her feelings, but is too kindhearted to turn down Jack's affection. Jack and David are billeted together. Their tent mate is Cadet White, but their acquaintance is all too brief; White is killed in an air crash the same day. Undaunted, the two men endure a rigorous training period, where they go from being enemies to best friends. Upon graduating, they are shipped off to France to fight the Germans. Mary joins the war effort by becoming an ambulance driver. She later learns of Jack's reputation as the ace known as ""The Shooting Star"" and encounters him while on leave in Paris. She finds him, but he is too drunk to recognize her. She puts him to bed, but when two military police barge in while she is innocently changing from a borrowed dress back into her uniform in the same room, she is forced to resign and return to the United States. The climax of the story comes with the epic Battle of Saint-Mihiel. David is shot down and presumed dead. However, he survives the crash landing, steals a German biplane, and heads for the Allied lines. By a tragic stroke of bad luck, Jack spots the enemy aircraft and, bent on avenging his friend, begins an attack. He is successful in downing the aircraft and lands to retrieve a souvenir of his victory. The owner of the land where David's aircraft crashed urges Jack to come to the dying man's side. He agrees and becomes distraught when he realizes what he has done. David consoles him and before he dies, forgives his comrade. At the war's end, Jack returns home to a hero's welcome. He visits David's grieving parents to return his friend's effects. During the visit he begs their forgiveness for causing David's death. Mrs. Armstrong says it is not Jack who is responsible for her son's death, but the war. Then, Jack is reunited with Mary and realizes he loves her. ",Wings (1927 film),1928
,The Racket (1928 film),1928
,Seventh Heaven (1927 film),1928
"Eddie Kearns (Charles King) sings ""The Broadway Melody"", and tells some chorus girls that he brought the Mahoney Sisters vaudeville act to New York to perform it with him in the latest revue being produced by Francis Zanfield (Eddie Kane). Harriet ""Hank"" Mahoney (Bessie Love) and her sister Queenie Mahoney (Anita Page) are awaiting Eddie's arrival at their apartment. Hank, the older sister, prides herself on her business sense and talent, while Queenie is lauded for her beauty. Hank is confident they will make it big while Queenie is less eager to put everything on the line to become a star. Hank declines the offer of their Uncle Jed (Jed Prouty) to join a 30-week traveling show, but consents to think it over. Eddie, who is engaged to Hank, arrives and sees Queenie for the first time since she was a girl and is instantly taken with her. He tells them to come to a rehearsal for Zanfield's revue to present their act. A blond woman sabotages their performance by placing a bag in the piano, which causes a fight with Hank. Zanfield isn't interested in it, but says he might have a use for Queenie, who begs him to give Hank a part as well, saying both will work for one wage. She also convinces him to pretend Hank's business skills won him over. Eddie witnesses this exchange and becomes even more enamored of Queenie for her devotion to her sister. During a dress rehearsal for the revue, Zanfield says the pacing is too slow for ""The Broadway Melody"" and cuts Hank and Queenie from the number. Meanwhile, another woman is injured after falling off a set prop and Queenie is selected to replace her. Nearly everyone is captivated by Queenie, particularly notorious playboy Jacques ""Jock"" Warriner (Kenneth Thomson). While Jock begins to woo Queenie, Hank is upset that Queenie is building her success on her looks rather than her talent. Over the following weeks, Queenie spends a lot of time with Jock, of which Hank and Eddie fervently disapprove. They forbid her to see him, which results in Queenie pushing them away and the deterioration of the relationship between the sisters. Queenie is only with Jock to fight her growing feelings for Eddie, but Hank thinks she's setting herself up to be hurt. Eventually, Eddie and Queenie confess their love for each other, but Queenie, unwilling to break her sister's heart, runs off to Jock once again. Hank, after witnessing Queenie's fierce outburst toward Eddie and his devastated reaction to it, finally realizes they are in love. She berates Eddie for letting Queenie run away and tells him to go after her. She claims to never have loved him and that she'd only been using him to advance her career. After he leaves, she breaks down and alternates between sobs and hysterical laughter. She composes herself enough to call Uncle Jed to accept the job with the 30-week show. There's a raucous party at the apartment Jock had recently purchased for Queenie, but he insists they spend time alone. When she resists his advances, he says it's the least she could do after all he's done for her. He begins to get physical, but Eddie bursts in and attempts to fight Jock, who knocks him through the door with one punch. Queenie runs to Eddie and leaves Jock and the party behind. Sometime later, Hank and Uncle Jed await the return of Queenie and Eddie from their honeymoon. The relationship between the sisters is on the mend, but there is obvious discomfort between Hank and Eddie. Queenie announces she's through with show business and will settle down in their new house on Long Island. She insists that Hank live with them when her job is over. After Hank leaves with her new partner and Uncle Jed, Queenie laments the fact that she wasn't able to help her sister find the happiness she deserves. Ironically, Hank's new partner is the blond who tried to sabotage the act when the sisters first arrived in New York. The final scene shows Hank on her way to the train station. She promises her new partner they'll be back on Broadway within six months. ",The Broadway Melody,1929
"Joan Manning, the daughter of a police sergeant, secretly marries Chick Williams, a gangleader who convinces her that he is leading an honest life. Chick attends the theater with Joan and, at the intermission, sneaks away, committing a robbery during which a policeman is killed. Chick is suspected of the crime but is able to use Joan to substantiate his alibi. The police plant Danny McGann, an undercover agent, in Chick's gang; but he is discovered, and Chick murders him. Chick is later cornered by the police in his own home. Before they can arrest him, he flips the light switch, plunging the room into darkness. In the midst of the chaos, Chick escapes to the roof. He attempts to jump off to a nearby building, but stumbles on the landing, thus falling to his death. ",Alibi (1929 film),1929
,The Hollywood Revue of 1929,1929
"In Arizona, a bandit known as The Cisco Kid robs a stagecoach. Word of this deed reaches to Sergeant Micky Dunn, who gets tasked by his superior to bring in The Cisco Kid dead or alive, with a $5,000 reward promised once he succeeds. They meet in a barber shop, though Dunn is unaware of The Cisco Kid's true identity and passes him off as a friendly civilian. When he leaves, the local blacksmith tells him that was The Cisco Kid, much to Dunn's chagrin. The Cisco Kid is in a relationship with Tonia Maria, and visits her often. He loves her, but she has frequent affairs without his knowledge. Dunn and Maria meet each other and begin an affair. Dunn tells Maria that once he takes down The Cisco Kid, he will give the $5,000 reward to Maria, making her fall in love with him. They express their love for each other while The Cisco Kid secretly watches and listens nearby, learning of her betrayal. She writes a secret letter to Dunn telling him to come that evening to take down The Cisco Kid before he makes his escape. However, The Cisco Kid finds this letter and replaces it with a fake letter ""from Maria"" which he wrote. His note says that he will be dressed up in Maria's clothes in an effort to disguise himself from Dunn, while Maria is actually in The Cisco Kid's clothes riding away. Dunn receives this fake letter, believing it to be from Maria. When The Cisco Kid leaves her house, Dunn shoots Maria, believing her to be The Cisco Kid in disguise. Now farther away, The Cisco Kid laments that ""[Maria's] flirting days are over, and she can finally settle down"". He then makes his escape. ",In Old Arizona,1929
"In 18th-Century Russia, the Czar, Paul, is surrounded by murderous plots and trusts only Count Pahlen. Pahlen wishes to protect his friend, the mad king, but because of the horror of the king's acts, he feels that he must remove him from the throne. Stefan, whipped by the czar for not having the correct number of buttons on his gaiters, joins with the count in the plot. The crown prince is horrified by their plans and warns his father, who, having no love for his son, places him under arrest for his foolish accusations. Pahlen uses his mistress, the Countess Ostermann, to lure the czar into the bedroom, where she tells the czar of the plot. The czar summons Pahlen, who reassures him of his loyalty. Later that night the count and Stefan enter his bedroom, and presently the czar is dead. But moments later Stefan turns a pistol on Pahlen. As the count lies dying on the floor, the countess appears and embraces Pahlen as he says, ""I have been a bad friend and lover—but I have been a Patriot."" ",The Patriot (1928 film),1929
"Professor Kantorek gives an impassioned speech about the glory of serving in the Army and ""saving the Fatherland"". On the brink of becoming men, the boys in his class, led by Paul Baumer, are moved to join the army as the new 2nd Company. Their romantic delusions are quickly broken during their brief but rigorous training under the abusive Sergeant Himmelstoss, who bluntly informs them, ""You're going to be soldiers—and that's all."" The new soldiers arrive by train at the combat zone, which is mayhem, with soldiers everywhere, incoming shells, horse-drawn wagons racing about, and prolonged rain. One in the group is killed before the new recruits can reach their post, to the alarm of one of the new soldiers (Behn). The new soldiers are assigned to a unit composed of older soldiers, who are not exactly accommodating. The young soldiers find that there is no food available at the moment. They have not eaten since breakfast, but the men they have joined have not had food for two days. One of them, ""Kat"" Katczinsky, had gone to locate something to eat and he returns with a slaughtered hog he has stolen from a field kitchen. The young soldiers ""pay"" for their dinner with cigarettes. The new recruits' first trip to the trenches with the veterans, to re-string barbed wire, is a harrowing experience, especially when Behn is blinded by shrapnel and hysterically runs into machine-gun fire. After spending several days in a bunker under bombardment, they at last move into the trenches and successfully repulse an enemy attack; they then counterattack and take an enemy trench with heavy casualties, but have to abandon it. They are sent back to the field kitchens to get their rations; each man receives double helpings, simply because of the number of dead. The men start out eating greedily, but then settle into a satiated torpor. They hear that they are to return to the front the next day and begin a semi-serious discussion about the causes of the war and of wars in general. They speculate about whether geographical entities offend each other and whether these disagreements involve them. Tjaden speaks familiarly about himself and the Kaiser; Kat jokes that instead of having a war, they should have the leaders of Europe be stripped to their underwear and ""fight it out with clubs"". One day, Corporal Himmelstoss arrives to the front and is immediately spurned because of his bad reputation; he is forced to go over the top with the 2nd Company and is promptly killed. In an attack on a cemetery, Paul stabs a French soldier, but finds himself trapped in a hole with the dying man for an entire night. Throughout the night, he desperately tries to help him, bringing him water, but fails miserably to stop him from dying. He cries bitterly and begs the dead body to speak so he can be forgiven. Later, he returns to the German lines and is comforted by Kat. Going back to the front line, Paul is severely wounded and taken to a Catholic hospital, along with his good friend Albert Kropp. Kropp's leg is amputated, but he does not find out until some time afterwards. Around this time, Paul is taken to the bandaging ward, from which, according to its reputation, nobody has ever returned alive; but he later returns to the normal rooms triumphantly, only to find Kropp in depression. Paul is given a furlough and visits his family at home. He is shocked by how uninformed everyone is about the actual situation of the war; everyone is convinced that a final ""push for Paris"" is soon to occur. When Paul visits the schoolroom where he was originally recruited, he finds Professor Kantorek prattling the same patriotic fervor to a class of even younger students. Professor Kantorek asks of Paul to detail his experience, to which the latter reveals that war was not at all like he had envisioned and mentions the deaths of his partners; this revelation upsets the professor, as well as the young students who promptly call Paul a ""coward"". Disillusioned and angry, Paul returns to the front and comes upon another 2nd company that is filled with new young recruits who are now disillusioned; he is then happily greeted by Tjaden. He goes to find Kat, and they discuss the inability of the people to comprehend the futility of the war. Kat's shin is broken when a bomb dropped by an aircraft falls nearby, so Paul carries him back to a field hospital - only to find that Kat has been killed by a second explosion. Crushed by the loss of his mentor, Paul leaves. In the final scene, Paul is back on the front lines. He sees a butterfly just beyond his trench. Paul smiles and reaches out towards the butterfly, but becoming too exposed, he is shot and killed by an enemy sniper. The final shot shows the 2nd Company arriving at the front for the first time, fading out to the image of a cemetery. ",All Quiet on the Western Front (1930 film),1930
"Kent (Robert Montgomery), a drunk driver who carelessly kills a man, is sentenced to ten years for manslaughter. In an overcrowded prison designed for 1800 and actually holding 3000, he is placed in a cell with Butch (Wallace Beery) and Morgan (Chester Morris), the two leaders of the inmates. Butch is alternately menacing and friendly, while Morgan tries to help out the frightened, inexperienced youngster, but Kent rebuffs his overtures. When Butch is ordered into solitary confinement for sparking a protest over the prison food, he passes along his knife before being searched. It ends up in Kent's hands. Meanwhile, Morgan is notified that he is to be paroled. Prior to a search of their cell, Kent hides the knife in Morgan's bed. When it is found, Morgan's parole is canceled, and he is put in solitary as well. He vows to make Kent pay for what he has done. When Morgan is let out of solitary, he escapes by switching places with a corpse on the way to the morgue. He makes his way to the bookstore run by Kent's beautiful sister, Anne (Leila Hyams). She, however, recognizes him. She manages to get his gun and starts to call the police, but then changes her mind and gives him back his pistol. Morgan (who has been attracted to Anne since he saw Kent's photograph of her) gets a job and becomes better acquainted with Anne and her family. They all like him, especially Anne. However, he is caught and sent back to prison. When Butch tells Morgan of his plan for a jailbreak on Thanksgiving, Morgan tells him that he is going straight. In return for a promise of freedom, Kent informs the warden (Lewis Stone) of the attempt, though he is not privy to the details. Despite the warning, the inmates succeed in taking over the prison, capturing many of the guards, though they are unable to force their way out. Thwarted, Butch threatens to shoot the guards one by one unless they are allowed to escape. When the warden stands firm, Butch shoots the warden's right-hand man in cold blood, then tosses the dying man out for all to see. Army tanks are called to break down the entrance. Morgan grabs a pistol from the prisoner assigned to watch the guards. He finds Kent cowering with the guards, but spares him. Kent panics and flees before Morgan locks the guards in to save their lives. When Kent tries to open the front doors, he is killed in the crossfire. Butch is told that Morgan was the ""stoolie"" who tipped off the warden and learns he has put the guards out of danger. He sets out to kill his former friend. In the ensuing gunfight, both are wounded, Butch fatally. Before he dies, he learns that Kent was actually the informer, and he and Morgan reconcile. For his efforts, Morgan is given a full pardon. When he exits the prison, Anne rushes to embrace him. ",The Big House (1930 film),1930
