plot,title,year
"Jack Powell and David Armstrong are rivals in the same small American town, both vying for the attentions of pretty Sylvia Lewis. Jack fails to realize that ""the girl next door"", Mary Preston, is desperately in love with him. The two young men both enlist to become combat pilots in the Air Service. When they leave for training camp, Jack mistakenly believes Sylvia prefers him. She actually prefers David and lets him know about her feelings, but is too kindhearted to turn down Jack's affection. Jack and David are billeted together. Their tent mate is Cadet White, but their acquaintance is all too brief; White is killed in an air crash the same day. Undaunted, the two men endure a rigorous training period, where they go from being enemies to best friends. Upon graduating, they are shipped off to France to fight the Germans. Mary joins the war effort by becoming an ambulance driver. She later learns of Jack's reputation as the ace known as ""The Shooting Star"" and encounters him while on leave in Paris. She finds him, but he is too drunk to recognize her. She puts him to bed, but when two military police barge in while she is innocently changing from a borrowed dress back into her uniform in the same room, she is forced to resign and return to the United States. The climax of the story comes with the epic Battle of Saint-Mihiel. David is shot down and presumed dead. However, he survives the crash landing, steals a German biplane, and heads for the Allied lines. By a tragic stroke of bad luck, Jack spots the enemy aircraft and, bent on avenging his friend, begins an attack. He is successful in downing the aircraft and lands to retrieve a souvenir of his victory. The owner of the land where David's aircraft crashed urges Jack to come to the dying man's side. He agrees and becomes distraught when he realizes what he has done. David consoles him and before he dies, forgives his comrade. At the war's end, Jack returns home to a hero's welcome. He visits David's grieving parents to return his friend's effects. During the visit he begs their forgiveness for causing David's death. Mrs. Armstrong says it is not Jack who is responsible for her son's death, but the war. Then, Jack is reunited with Mary and realizes he loves her. ",Wings (1927 film),1928
"Eddie Kearns (Charles King) sings ""The Broadway Melody"", and tells some chorus girls that he brought the Mahoney Sisters vaudeville act to New York to perform it with him in the latest revue being produced by Francis Zanfield (Eddie Kane). Harriet ""Hank"" Mahoney (Bessie Love) and her sister Queenie Mahoney (Anita Page) are awaiting Eddie's arrival at their apartment. Hank, the older sister, prides herself on her business sense and talent, while Queenie is lauded for her beauty. Hank is confident they will make it big while Queenie is less eager to put everything on the line to become a star. Hank declines the offer of their Uncle Jed (Jed Prouty) to join a 30-week traveling show, but consents to think it over. Eddie, who is engaged to Hank, arrives and sees Queenie for the first time since she was a girl and is instantly taken with her. He tells them to come to a rehearsal for Zanfield's revue to present their act. A blond woman sabotages their performance by placing a bag in the piano, which causes a fight with Hank. Zanfield isn't interested in it, but says he might have a use for Queenie, who begs him to give Hank a part as well, saying both will work for one wage. She also convinces him to pretend Hank's business skills won him over. Eddie witnesses this exchange and becomes even more enamored of Queenie for her devotion to her sister. During a dress rehearsal for the revue, Zanfield says the pacing is too slow for ""The Broadway Melody"" and cuts Hank and Queenie from the number. Meanwhile, another woman is injured after falling off a set prop and Queenie is selected to replace her. Nearly everyone is captivated by Queenie, particularly notorious playboy Jacques ""Jock"" Warriner (Kenneth Thomson). While Jock begins to woo Queenie, Hank is upset that Queenie is building her success on her looks rather than her talent. Over the following weeks, Queenie spends a lot of time with Jock, of which Hank and Eddie fervently disapprove. They forbid her to see him, which results in Queenie pushing them away and the deterioration of the relationship between the sisters. Queenie is only with Jock to fight her growing feelings for Eddie, but Hank thinks she's setting herself up to be hurt. Eventually, Eddie and Queenie confess their love for each other, but Queenie, unwilling to break her sister's heart, runs off to Jock once again. Hank, after witnessing Queenie's fierce outburst toward Eddie and his devastated reaction to it, finally realizes they are in love. She berates Eddie for letting Queenie run away and tells him to go after her. She claims to never have loved him and that she'd only been using him to advance her career. After he leaves, she breaks down and alternates between sobs and hysterical laughter. She composes herself enough to call Uncle Jed to accept the job with the 30-week show. There's a raucous party at the apartment Jock had recently purchased for Queenie, but he insists they spend time alone. When she resists his advances, he says it's the least she could do after all he's done for her. He begins to get physical, but Eddie bursts in and attempts to fight Jock, who knocks him through the door with one punch. Queenie runs to Eddie and leaves Jock and the party behind. Sometime later, Hank and Uncle Jed await the return of Queenie and Eddie from their honeymoon. The relationship between the sisters is on the mend, but there is obvious discomfort between Hank and Eddie. Queenie announces she's through with show business and will settle down in their new house on Long Island. She insists that Hank live with them when her job is over. After Hank leaves with her new partner and Uncle Jed, Queenie laments the fact that she wasn't able to help her sister find the happiness she deserves. Ironically, Hank's new partner is the blond who tried to sabotage the act when the sisters first arrived in New York. The final scene shows Hank on her way to the train station. She promises her new partner they'll be back on Broadway within six months. ",The Broadway Melody,1929
"Professor Kantorek gives an impassioned speech about the glory of serving in the Army and ""saving the Fatherland"". On the brink of becoming men, the boys in his class, led by Paul Baumer, are moved to join the army as the new 2nd Company. Their romantic delusions are quickly broken during their brief but rigorous training under the abusive Sergeant Himmelstoss, who bluntly informs them, ""You're going to be soldiers—and that's all."" The new soldiers arrive by train at the combat zone, which is mayhem, with soldiers everywhere, incoming shells, horse-drawn wagons racing about, and prolonged rain. One in the group is killed before the new recruits can reach their post, to the alarm of one of the new soldiers (Behn). The new soldiers are assigned to a unit composed of older soldiers, who are not exactly accommodating. The young soldiers find that there is no food available at the moment. They have not eaten since breakfast, but the men they have joined have not had food for two days. One of them, ""Kat"" Katczinsky, had gone to locate something to eat and he returns with a slaughtered hog he has stolen from a field kitchen. The young soldiers ""pay"" for their dinner with cigarettes. The new recruits' first trip to the trenches with the veterans, to re-string barbed wire, is a harrowing experience, especially when Behn is blinded by shrapnel and hysterically runs into machine-gun fire. After spending several days in a bunker under bombardment, they at last move into the trenches and successfully repulse an enemy attack; they then counterattack and take an enemy trench with heavy casualties, but have to abandon it. They are sent back to the field kitchens to get their rations; each man receives double helpings, simply because of the number of dead. The men start out eating greedily, but then settle into a satiated torpor. They hear that they are to return to the front the next day and begin a semi-serious discussion about the causes of the war and of wars in general. They speculate about whether geographical entities offend each other and whether these disagreements involve them. Tjaden speaks familiarly about himself and the Kaiser; Kat jokes that instead of having a war, they should have the leaders of Europe be stripped to their underwear and ""fight it out with clubs"". One day, Corporal Himmelstoss arrives to the front and is immediately spurned because of his bad reputation; he is forced to go over the top with the 2nd Company and is promptly killed. In an attack on a cemetery, Paul stabs a French soldier, but finds himself trapped in a hole with the dying man for an entire night. Throughout the night, he desperately tries to help him, bringing him water, but fails miserably to stop him from dying. He cries bitterly and begs the dead body to speak so he can be forgiven. Later, he returns to the German lines and is comforted by Kat. Going back to the front line, Paul is severely wounded and taken to a Catholic hospital, along with his good friend Albert Kropp. Kropp's leg is amputated, but he does not find out until some time afterwards. Around this time, Paul is taken to the bandaging ward, from which, according to its reputation, nobody has ever returned alive; but he later returns to the normal rooms triumphantly, only to find Kropp in depression. Paul is given a furlough and visits his family at home. He is shocked by how uninformed everyone is about the actual situation of the war; everyone is convinced that a final ""push for Paris"" is soon to occur. When Paul visits the schoolroom where he was originally recruited, he finds Professor Kantorek prattling the same patriotic fervor to a class of even younger students. Professor Kantorek asks of Paul to detail his experience, to which the latter reveals that war was not at all like he had envisioned and mentions the deaths of his partners; this revelation upsets the professor, as well as the young students who promptly call Paul a ""coward"". Disillusioned and angry, Paul returns to the front and comes upon another 2nd company that is filled with new young recruits who are now disillusioned; he is then happily greeted by Tjaden. He goes to find Kat, and they discuss the inability of the people to comprehend the futility of the war. Kat's shin is broken when a bomb dropped by an aircraft falls nearby, so Paul carries him back to a field hospital - only to find that Kat has been killed by a second explosion. Crushed by the loss of his mentor, Paul leaves. In the final scene, Paul is back on the front lines. He sees a butterfly just beyond his trench. Paul smiles and reaches out towards the butterfly, but becoming too exposed, he is shot and killed by an enemy sniper. The final shot shows the 2nd Company arriving at the front for the first time, fading out to the image of a cemetery. ",All Quiet on the Western Front (1930 film),1930
"The Oklahoma land rush of 1889 prompts thousands to travel to the Oklahoma Territory to grab free government land; Yancey Cravat (Richard Dix), his young bride, Sabra (Irene Dunne) and their son, Cim, join the throngs. In the ensuing race, Yancey is outwitted by a young prostitute, Dixie Lee (Estelle Taylor), who takes the prime piece of real estate, the Bear Creek claim, that Yancey had targeted for himself. His plans for establishing a ranch thwarted, Yancey moves into the town of Osage, a boomer town, where he confronts and kills Lon Yountis (Stanley Fields), an outlaw who has killed the prior publisher of the local newspaper. Having a background in publishing himself, Yancey establishes the Osage Wigwam, a weekly newspaper, to help turn the frontier camp into a respectable town. After the birth of their daughter, Donna, a gang of outlaws threatens Osage, led by ""The Kid"" (William Collier Jr.), who happens to be an old acquaintance of Yancey's. To save the town, Yancey faces and kills The Kid. Beset by guilt over his killing of The Kid, when another land rush appears, Yancey leaves Sabra and his children to participate in settling the Cherokee Strip. After his departure, Sabra takes over the publication of the Osage Wigwam, and raises her children until Yancey returns five years later, just in time to represent Dixie Lee and win her acquittal. Osage continues to grow, as does the Territory of Oklahoma, that gains statehood in 1907 and benefits from the early oil boom of the 1900s, including the Native American tribes, that Yancey supports, through editorials in his newspaper, after which Yancey once again disappears from Osage for several years. At the time, Sabra is vehemently against Yancey's viewpoint, despite her son's involvement with an Indian woman. Years later, when Sabra becomes the first female congresswoman from the state of Oklahoma, she lauds the virtues of her then Indian daughter-in-law. Sabra and Yancey are reunited one final time when she rushes to his side after he has rescued numerous oil drillers from a devastating explosion. He dies in her arms. ",Cimarron (1931 film),1931
"Doctor Otternschlag, a disfigured veteran of World War I and a permanent resident of the Grand Hotel in Berlin, observes, ""People coming, going. Nothing ever happens"" — after which a great deal transpires. Baron Felix von Geigern, who squandered his fortune and supports himself as a card player and occasional jewel thief, befriends Otto Kringelein, a dying accountant who has decided to spend his remaining days in the lap of luxury. Kringelein's former employer, industrialist General Director Preysing, is at the hotel to close an important deal, and he hires stenographer Flaemmchen to assist him. She aspires to be an actress and shows Preysing some magazine photos for which she posed, implying she is willing to offer him more than typing if he advances her career. Another guest is Russian ballerina Grusinskaya, whose career is on the wane. When the Baron is in her room to steal her jewelry and she returns from the theatre, he hides in her room and overhears as she talks to herself about wanting to end it all. He comes out of hiding and engages her in conversation, and Grusinskaya finds herself attracted to him. The following morning, the Baron returns Grusinskaya's jewels, and she forgives his crime. She invites him to accompany her to Vienna, an offer he accepts. The Baron is desperate for money to pay his way out of the criminal group he had been working with. He and Kringelein get a card game going, and Kringelein wins everything, then becomes intoxicated. When he drops his wallet, the Baron stashes it in his pocket, intending to keep the winnings. However, after Kringelein begins to search for his lost belongings, the Baron – who desperately needs the money but has become very fond of Kringelein – pretends to have discovered the wallet and returns it to him. As part of a desperate merger plan, Preysing must travel to London, and he asks Flaemmchen to accompany him. Later, when the two are in her room, which opens on to his, Preysing sees the shadow of the Baron rifling through his belongings. He confronts the Baron; the two struggle, and Preysing bludgeons the Baron with the telephone, killing him. Flaemmchen sees what happened and tells Kringelein, who confronts Preysing. He insists he acted in self-defense, but Kringelein summons the police and Preysing is arrested. Grusinskaya departs for the train station, expecting to find the Baron waiting for her there. Meanwhile, Kringelein offers to take care of Flaemmchen, who suggests they seek a cure for his illness. As they leave the hotel, Doctor Otternschlag again observes, ""Grand Hotel. Always the same. People come. People go. Nothing ever happens."" ",Grand Hotel (1932 film),1932
"On the last day of 1899, Jane and Robert Marryot, an upper-class couple, return to their townhouse in a fashionable area of London before midnight, so they can keep their tradition of celebrating the new year with a midnight toast. Although Jane and Robert have been married for some years and have two young sons, Edward and Joey, they are still very much in love. Jane worries because Robert has joined the City of London Imperial Volunteers (CIV) as an officer, and will soon be leaving to serve in the Second Boer War, where Jane's brother is already fighting in the Siege of Mafeking. Downstairs, the Marryots' butler Alfred Bridges mixes punch for their toast, while Cook dons her finest outfit to attend the public outdoor celebrations. Alfred has joined the CIV as a private and is also leaving soon. His wife Ellen, the Marryots' maid, worries about what will become of her and their new baby Fanny if Alfred is killed or seriously injured, but he is confident despite the pessimistic predictions of Ellen's elderly mother, Mrs. Snapper. At midnight, the Marryot and Bridges families ring in the new century while Cook dances with other revelers in the street. Shortly thereafter, Jane bids an emotional farewell to Robert at the dock when he boards the troop ship bound for Africa, while Ellen tearfully sees off Alfred, who is leaving on the same ship. While Robert is away, Jane's friend Margaret Harris keeps her company and gives her emotional support. Margaret's young daughter Edith plays Boer War games with Edward and Joey Marryot using toy soldiers and cannons, which distresses Jane. While Jane and Margaret are attending a comic operetta at the theatre to take Jane's mind off the war, the relief of Mafeking is announced from the stage, and the audience cheers. Robert and Alfred soon return home unharmed, to the delight of their families, and Robert is knighted for his service. Upon his arrival, Alfred announces to his wife and mother-in-law that he has bought his own pub with money partly provided by Robert, and he and Ellen will be leaving service and moving to a flat, along with Fanny and Mrs. Snapper. As the downstairs staff have a cup of tea to celebrate Alfred's return, they receive news of the death of Queen Victoria. Robert rides in the beginning part of her funeral procession and the family and staff watch it from their upstairs windows. A few years later, in 1908, Alfred has developed a drinking problem and is managing the pub poorly and getting behind on the family's rent due to spending the rent money on drink. Ellen and Fanny, now a schoolgirl, are embarrassed and put off by Alfred's drinking and slovenly appearance. Ellen carefully plans a genteel social evening when Jane Marryot and her son Edward, who is now in college at Oxford, pay a visit to the Bridges' flat. Ellen does not tell Alfred about the visit and lies to the Marryots that he can't attend due to a leg injury, but just as the Marryots are leaving, Alfred shows up drunk, acts rudely and destroys a doll that Jane had given Fanny, causing Fanny to run away into the street, where she distracts herself by dancing with some Pearlies. An angry Alfred chases Fanny, attacks the Pearlies, and then stumbles into the street where he is fatally run over by a horse-drawn fire engine. The following year, on July 25th, 1909, Ellen and Fanny Bridges encounter the Marryot family again at the seaside, where Ellen explains that she and Fanny are living off the proceeds from the pub, now owned by Ellen. Fanny has become a talented dancer and singer. Edward Marryot has fallen in love with his childhood playmate Edith Harris. The family witnesses the historic flight by Louis Blériot over the English Channel. Three years later, by April 1912, Edward and Edith have married and are spending their honeymoon on an ocean liner, which is dramatically revealed by a camera shot on a life preserver on board to be the ill-fated RMS Titanic. Later scenes make it clear that Edward and Edith both perished in the sinking, although the sinking itself, their deaths, and their families' initial reaction to it are not shown, it is only mentioned in some dialogue later. Two years later, in 1914, World War I breaks out. Robert and Joe Marryot both serve as officers, thinking the war will be over within a few months. While on leave, Joe happens upon Fanny Bridges, whom he remembers from their childhood, performing as a featured singer and dancer in a nightclub. He re-introduces himself to her, and they bond while witnessing a Zeppelin air raid on London from a rooftop. She later becomes the star of a theatrical production. Fanny and Joe fall in love and Joe, who miraculously manages to survive the next four years of the war despite all his fellow officers being killed in action, spends most of his leave time with her, unbeknownst to his parents. He finally proposes, but she hesitates to say yes due to the difference in their social classes, although she does love him. Just after armistice is announced in 1918, Ellen, who has found out about Fanny and Joe's love affair, goes to see Jane, reveals the affair to her, and demands that Joe marry Fanny when he returns. While a surprised and upset Jane is arguing with Ellen, Jane receives a telegram informing her that Joe has been killed in battle. Later, a grief-stricken Jane walks sadly through armistice celebrations in Trafalgar Square. Following the war, a montage shows daily life becoming even more chaotic and the social order being further disrupted, while some advocate that mankind work towards peace. The film ends on New Year's Day 1933, with Jane and Robert, now elderly, carrying on their tradition of celebrating the new year with a midnight toast to their past memories, as well as to the future. ",Cavalcade (1933 film),1933
"Spoiled heiress Ellen ""Ellie"" Andrews has eloped with pilot and fortune-hunter ""King"" Westley against the wishes of her extremely wealthy father, Alexander Andrews. Andrews wants to have the marriage annulled because he knows Westley is really only interested in her money. Jumping ship in Florida, she runs away and boards a Greyhound bus to New York City to reunite with her husband. She meets fellow bus passenger Peter Warne, a freshly out-of-work newspaper reporter. Soon Warne recognizes her and gives her a choice: If she will give him an exclusive on her story, he will help her reunite with Westley. If not, he will tell her father where she is. Ellie agrees to the first choice. As they go through several adventures together, Ellie loses her initial disdain for him and begins to fall in love. When they have to hitchhike, they fail to secure a ride until Ellie displays a shapely leg to Danker, the next driver. When they stop en route, Danker tries to steal their luggage but Peter seizes his car. Nearing the end of their journey, Ellie confesses her love to Peter. When the owners of the motel in which they are staying notice that Peter's car is gone, they expel Ellie. Believing Peter has deserted her, Ellie telephones her father, who agrees to let her marry Westley. Meanwhile, Peter has obtained money from his editor to marry Ellie, but he misses her on the road. Although Ellie has no desire to be with Westley, she believes Peter has betrayed her for the reward money and agrees to have a second, formal wedding to Westley. On the wedding day, she finally reveals the whole story. When Peter comes to Ellie's home, Mr. Andrews offers him the reward money, but Peter insists on being paid only his expenses: a paltry $39.60. When Ellie's father presses him for an explanation of his odd behavior, Peter admits he loves Ellie and storms out. Westley arrives for his wedding via autogyro; but at the ceremony, Andrews reveals to his daughter Peter's refusal of the reward money, sends her to Peter, and pays Westley off. ",It Happened One Night,1934
"One night in Portsmouth, England in 1787, a press gang breaks into a local tavern and presses all of the men drinking there into naval service. One of the men inquires as to what ship they will sail on, and the press gang leader informs him that it is the HMS Bounty. Upon inquiring as to who the captain is, another of the men is told the captain is William Bligh (Charles Laughton), and attempts to escape, as Bligh is a brutal tyrant who routinely administers harsh punishment to officers and crew alike who lack discipline, cause any infraction on board the ship, or in any manner defy his authority. The Bounty leaves England several days later on a two-year voyage over the Pacific Ocean. Fletcher Christian (Clark Gable), the ship's lieutenant, is a formidable yet compassionate man who disapproves of Bligh's treatment of the crew. Roger Byam (Franchot Tone) is an idealistic midshipman who is divided between his loyalty to Bligh, owing to his family's naval tradition, and his friendship with Christian. During the voyage, the enmity between Christian and Bligh grows after Christian openly challenges Bligh's unjust practices aboard the ship. When the ship arrives at the island of Tahiti, where the crew acquires breadfruit plants to take to the West Indies, as intended, Bligh punishes Christian by refusing to let him leave the ship during their stay. Byam, meanwhile, sets up residency on the island, living with the island chief, Hitihiti (William Bambridge), and his daughter, Tehani (Movita Castaneda), and compiling an English dictionary of the Tahitian language. Hitihiti persuades Bligh to allow Christian a day pass on the island. Bligh agrees but quickly repeals the pass out of spite. Christian disregards the order and spends his one-day off the ship romancing a Tahitian girl, Maimiti (Mamo Clark). Christian promises her he will be back someday. After leaving Tahiti the crew begins to talk of mutiny after Bligh's harsh discipline leads to the death of the ship's beloved surgeon, Mr. Bacchus (Dudley Digges), and Bligh cuts water rationing to the crew in favor of providing water for the breadfruit plants. Christian, although initially opposing the idea, decides he can no longer tolerate Bligh's brutality when he witnesses crew members shackled in iron chains, and he approves the mutiny. The crew raids the weapons cabinet and seizes the ship. Bligh and his loyalists are cast into a boat and set adrift at sea with a map and rations to ensure their survival. Due to Bligh's steady leadership, they are able to find their way back to land. Meanwhile, Christian orders that Bounty return to Tahiti. Byam, who was in his cabin during the mutiny, disapproves of what Christian has done and decides the two can no longer be friends. Months later, Byam is married to Tehani and Christian has married Maimiti and has a child with her, while the rest of the crew are enjoying their freedom on the island. After a long estrangement, Byam and Christian reconcile their friendship. However, when the British ship HMS Pandora is spotted approaching, Byam and Christian decide they must part ways. Byam and several crew members remain on the island for the ship to take them back to England, while Christian leads the remaining crew, his wife and several Tahitian men and women back on board Bounty in search of a new island on which to seek refuge. Byam boards the Pandora and, much to his surprise, discovers that Bligh is the captain. Bligh, who suspects that Byam was complicit in the mutiny, has him imprisoned for the remainder of the journey across the sea. Back in England Byam is court-martialed and found guilty of mutiny. Before the court condemns him, Byam speaks of Bligh's cruel, dehumanising conduct aboard Bounty. Due to the intervention of his friend Sir Joseph Banks (Henry Stephenson) and Lord Hood (David Torrence), Byam is pardoned by King George III and allowed to resume his naval career at sea. Meanwhile, Christian has found Pitcairn, an uninhabited yet sustainable island that he believes will provide adequate refuge from the reach of the Royal Navy. After Bounty crashes on the rocks, Christian orders her to be burned. ",Mutiny on the Bounty (1935 film),1935
"The son of a highly respected music professor, Florenz ""Flo"" Ziegfeld, Jr. yearns to make his mark in show business. He begins by promoting Eugen Sandow, the ""world's strongest man"", at the 1893 Chicago World's Fair, overcoming the competition of rival Billings and his popular attraction, belly dancer Little Egypt, with savvy marketing (allowing women to feel Sandow's muscles). Ziegfeld returns to his father and young Mary Lou at the Chicago Musical College, and departs to San Francisco, where he and Sandow are deemed frauds for putting on a show in which Sandow faces a lion who falls asleep as soon as it is let out of the cage. Flo travels to England on an ocean liner, where he runs into Billings again who is laughing at a newspaper article denouncing him as a fraud. Flo discovers that Billings is on his way to sign a contract with beautiful French star, Anna Held. Despite losing all his money gambling at Monte Carlo, Flo charms Anna into signing with him instead, pretending that he doesn't know Billings. Anna twice almost sends him away for his rudeness and for being broke, before revealing that she appreciates his honesty. Ziegfeld promises to give her ""more publicity than she ever dreams of"" and to feature her alongside America's most prominent theatrical performers. At first, Anna's performance at the Herald Square Theatre is not a success. However, Flo manages to generate publicity by sending 20 gallons of milk to Anna every day for a fictitious milk bath beauty treatment, then refusing to pay the bill. The newspaper stories soon bring the curious to pack his theater, and Ziegfeld introduces eight new performers to back her. Audience members comment on how the milk must make her skin beautiful and the show is a major success. Flo sends Anna flowers and jewelry and a note saying ""you were magnificent my wife"", and she agrees to marry him, flaunting her new diamonds to her fellow performers. However, one success is not enough for the showman. He has an idea for an entirely new kind of show featuring a bevy of blondes and brunettes, one that will ""glorify"" the American girl. The new show, the Ziegfeld Follies, an opulent production filled with beautiful women and highly extravagant costumes and sets, is a smash hit, and is followed by more versions of the Follies. Ziegfeld tries to make a star out of Audrey Dane, who is plagued with alcoholism, and he lures Fanny Brice away from vaudeville, showering both with lavish gifts. He gives stagehand Ray Bolger his break as well. Mary Lou, now a young woman, visits Ziegfeld, who doesn't recognize her initially, and hires her as a dancer. The new production upsets Anna, who realizes that Flo's world does not revolve around just her, and she becomes envious of the attention he pays to Audrey. She divorces him after walking in on Flo and a drunk Audrey at the wrong moment. Audrey walks out on Flo and the show after an angry confrontation. Broke, Flo borrows money from Billings for a third time for the new show. Flo meets the red-headed Broadway star Billie Burke and soon marries her. When she hears the news, a heartbroken Anna telephones Flo and pretends to be glad for him. Flo and Billie eventually have a daughter named Patricia. Flo's new shows are a success, but after a while, the public's taste changes, and people begin to wonder if the times have not passed him by. After a string of negative reviews in the press, Flo overhears three men in a barber's shop saying that he'll ""never produce another hit"". Stung, he vows to have four hits on Broadway at the same time. He achieves his goal, with the hits Show Boat (1927), Rio Rita (1927), Whoopee! (1928), and The Three Musketeers, and invests over $1 million (US$14,251,938 in 2017 dollars[5]) of his earnings in the stock market. However, the stock market crash of 1929 bankrupts him, forcing Billie to return to the stage. Shaken by the reversal of his financial fortunes and the growing popularity of movies over live stage shows, he becomes seriously ill. Billings pays him a friendly visit, and the two men agree to become partners in a new, even grander production of The Ziegfeld Follies. But the reality is that both men are broke and Ziegfeld realizes this. In the final scene in his apartment overlooking the Ziegfeld Theatre, in a half-delirium, he recalls scenes from several of his hits, exclaiming, ""I've got to have more steps, higher, higher"", before slumping over dead in his chair. ",The Great Ziegfeld,1936
"Set in the mid through late 19th century, it depicts Zola's friendship with Post-Impressionist painter Paul Cézanne, and his rise to fame through his prolific writing, with particular focus on his involvement late in life in the Dreyfus affair. Struggling writer Émile Zola (Paul Muni) shares a drafty Paris attic with his friend, painter Paul Cézanne (Vladimir Sokoloff). A chance encounter with a street prostitute (Erin O'Brien-Moore) hiding from a police raid inspires his first bestseller, Nana, an exposé of the steamy underside of Parisian life. Other successful books follow. Zola becomes rich and famous; he marries Alexandrine (Gloria Holden) and settles down to a comfortable life in his mansion. One day, his old friend Cézanne, still poor and unknown, visits him before leaving the city, and tells Zola that with his success he has become complacent, a far cry from the zealous reformer of his youth. Meanwhile, a French secret agent steals a letter addressed to a military officer in the German embassy. The letter confirms there is a spy within the top French army staff. With little thought, the army commanders decide that Jewish Captain Alfred Dreyfus (Joseph Schildkraut) is the traitor, is courtmartialed and imprisoned on Devil's Island in then French Guyana. Later, Colonel Picquart (Henry O'Neill), the new chief of intelligence, discovers evidence implicating the spy as Major Walsin-Esterhazy (Robert Barrat), but he is ordered by his superiors to remain silent to avert official embarrassment and is quickly reassigned to a distant post. Years go by. Finally, Dreyfus's loyal wife Lucie (Gale Sondergaard) pleads with Zola to take up her husband's cause. Zola is reluctant to give up a comfortable life, but she brings forth new evidence to pique his curiosity. A letter is published in the newspaper accusing the army of covering up the monstrous injustice. Zola barely escapes from an angry mob incited by military agents provocateurs. As expected, Zola is brought up for libel. His attorney, Maitre Labori (Donald Crisp) does his best against the presiding judge's refusal to bring up the Dreyfus affair and the perjury committed by all the military witnesses, except for Picquart. Zola, found guilty and sentenced to a year in prison, reluctantly accepts his friends' advice to avoid risk becoming a martyr and instead flee to England, to continue the campaign on behalf of Dreyfus. A new administration finally admits that Dreyfus is innocent; those responsible for the coverup are dismissed or commit suicide, although Walsin-Esterhazy flees the country in disgrace. Zola dies of accidental carbon monoxide poisoning due to a faulty stove the night before the public ceremony in which Dreyfus is exonerated. ",The Life of Emile Zola,1937
